device_name,device_type,eq_variant,data_source,loss_type,score_before_eq,score_with_eq,score_delta,preamp_db,num_filters,generator_version,generated_at,source_file,f1_type,f1_fc_hz,f1_gain_db,f1_q,f2_type,f2_fc_hz,f2_gain_db,f2_q,f3_type,f3_fc_hz,f3_gain_db,f3_q,f4_type,f4_fc_hz,f4_gain_db,f4_q,f5_type,f5_fc_hz,f5_gain_db,f5_q,f6_type,f6_fc_hz,f6_gain_db,f6_q,f7_type,f7_fc_hz,f7_gain_db,f7_q,f8_type,f8_fc_hz,f8_gain_db,f8_q,f9_type,f9_fc_hz,f9_gain_db,f9_q,f10_type,f10_fc_hz,f10_gain_db,f10_q,f11_type,f11_fc_hz,f11_gain_db,f11_q,f12_type,f12_fc_hz,f12_gain_db,f12_q,f13_type,f13_fc_hz,f13_gain_db,f13_q,f14_type,f14_fc_hz,f14_gain_db,f14_q,f15_type,f15_fc_hz,f15_gain_db,f15_q,f16_type,f16_fc_hz,f16_gain_db,f16_q,f17_type,f17_fc_hz,f17_gain_db,f17_q,f18_type,f18_fc_hz,f18_gain_db,f18_q,f19_type,f19_fc_hz,f19_gain_db,f19_q,f20_type,f20_fc_hz,f20_gain_db,f20_q,f21_type,f21_fc_hz,f21_gain_db,f21_q,f22_type,f22_fc_hz,f22_gain_db,f22_q,f23_type,f23_fc_hz,f23_gain_db,f23_q,f24_type,f24_fc_hz,f24_gain_db,f24_q,f25_type,f25_fc_hz,f25_gain_db,f25_q,f26_type,f26_fc_hz,f26_gain_db,f26_q,f27_type,f27_fc_hz,f27_gain_db,f27_q,f28_type,f28_fc_hz,f28_gain_db,f28_q,f29_type,f29_fc_hz,f29_gain_db,f29_q,f30_type,f30_fc_hz,f30_gain_db,f30_q,f31_type,f31_fc_hz,f31_gain_db,f31_q
Danley J6-42,speaker,autoeq,Vendors-Danley,,4.1,5.34,1.2400000000000002,-2.3,7,0.26,2024-03-19-16:49:09,eq/Danley J6-42/iir-autoeq.txt,PK,20.0,-6.71,2.98,PK,56.0,-2.33,1.37,PK,560.0,-1.72,2.99,PK,976.0,2.54,3.0,PK,1760.0,2.99,3.0,PK,2094.0,-1.34,3.0,PK,7834.0,-4.2,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley J7-95,speaker,dbx-1215,Vendors-Danley,,,,,-1.7,15,0.24,2023-08-04-23:29:14,eq/Danley J7-95/iir-autoeq-dbx-1215.txt,PK,25.0,0.25,2.14,PK,40.0,0.25,2.14,PK,63.0,0.0,2.14,PK,100.0,-0.25,2.14,PK,160.0,0.25,2.14,PK,250.0,0.5,2.14,PK,400.0,0.25,2.14,PK,630.0,0.25,2.14,PK,1000.0,0.25,2.14,PK,1600.0,0.5,2.14,PK,2500.0,-0.5,2.14,PK,4000.0,-0.25,2.14,PK,6300.0,0.0,2.14,PK,10000.0,0.0,2.14,PK,16000.0,1.75,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley J7-95,speaker,dbx-1231,Vendors-Danley,,,,,-1.5,31,0.24,2023-08-04-23:41:24,eq/Danley J7-95/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,0.25,4.32,PK,31.0,0.25,4.32,PK,40.0,0.0,4.32,PK,50.0,0.0,4.32,PK,63.0,0.0,4.32,PK,80.0,-0.25,4.32,PK,100.0,-0.25,4.32,PK,125.0,0.0,4.32,PK,160.0,0.25,4.32,PK,200.0,0.25,4.32,PK,250.0,0.5,4.32,PK,315.0,0.0,4.32,PK,400.0,0.25,4.32,PK,500.0,0.5,4.32,PK,630.0,0.0,4.32,PK,800.0,0.75,4.32,PK,1000.0,0.25,4.32,PK,1250.0,0.0,4.32,PK,1600.0,0.25,4.32,PK,2000.0,0.0,4.32,PK,2500.0,-0.5,4.32,PK,3150.0,-0.25,4.32,PK,4000.0,-0.25,4.32,PK,5000.0,-0.25,4.32,PK,6300.0,0.0,4.32,PK,8000.0,0.0,4.32,PK,10000.0,0.0,4.32,PK,12000.0,0.5,4.32,PK,16000.0,1.5,4.32,PK,20000.0,0.0,4.32
Danley J7-95,speaker,autoeq,Vendors-Danley,,,,,-3.4,7,0.26,2024-03-19-16:54:04,eq/Danley J7-95/iir-autoeq.txt,PK,21.0,1.95,0.48,PK,88.0,-3.53,0.94,PK,155.0,2.99,1.58,PK,243.0,2.99,2.99,PK,792.0,3.0,2.98,PK,3525.0,-6.45,0.92,PK,9648.0,-4.67,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SH-50,speaker,autoeq,Vendors-Danley,,1.35,4.52,3.1699999999999995,-3.0,7,0.28,2025-08-05-18:31:54,eq/Danley SH-50/iir-autoeq.txt,PK,102.0,2.98,0.61,PK,289.0,-4.13,3.0,PK,504.0,-4.44,2.38,PK,540.0,2.84,0.91,PK,1083.0,-3.47,2.75,PK,1288.0,2.91,2.53,PK,5732.0,-5.59,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SH-60,speaker,dbx-1215,Vendors-Danley,,1.73,1.89,0.15999999999999992,-1.3,15,0.24,2023-08-04-23:33:07,eq/Danley SH-60/iir-autoeq-dbx-1215.txt,PK,25.0,0.5,2.14,PK,40.0,0.5,2.14,PK,63.0,0.25,2.14,PK,100.0,-0.25,2.14,PK,160.0,0.25,2.14,PK,250.0,0.0,2.14,PK,400.0,0.25,2.14,PK,630.0,0.0,2.14,PK,1000.0,0.0,2.14,PK,1600.0,0.5,2.14,PK,2500.0,0.25,2.14,PK,4000.0,0.0,2.14,PK,6300.0,0.0,2.14,PK,10000.0,0.5,2.14,PK,16000.0,1.25,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SH-60,speaker,dbx-1231,Vendors-Danley,,1.73,1.96,0.22999999999999998,-0.8,31,0.24,2023-08-04-23:45:56,eq/Danley SH-60/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,0.25,4.32,PK,31.0,0.25,4.32,PK,40.0,0.25,4.32,PK,50.0,0.25,4.32,PK,63.0,0.25,4.32,PK,80.0,0.0,4.32,PK,100.0,-0.25,4.32,PK,125.0,0.0,4.32,PK,160.0,0.25,4.32,PK,200.0,0.25,4.32,PK,250.0,0.0,4.32,PK,315.0,0.25,4.32,PK,400.0,0.5,4.32,PK,500.0,0.5,4.32,PK,630.0,0.25,4.32,PK,800.0,0.0,4.32,PK,1000.0,0.25,4.32,PK,1250.0,0.5,4.32,PK,1600.0,0.5,4.32,PK,2000.0,0.25,4.32,PK,2500.0,0.25,4.32,PK,3150.0,0.25,4.32,PK,4000.0,0.0,4.32,PK,5000.0,0.0,4.32,PK,6300.0,0.25,4.32,PK,8000.0,0.5,4.32,PK,10000.0,0.25,4.32,PK,12000.0,0.75,4.32,PK,16000.0,0.75,4.32,PK,20000.0,0.0,4.32
Danley SH-60,speaker,autoeq,Vendors-Danley,,1.73,3.86,2.13,-3.0,9,0.24,2023-08-05-04:46:01,eq/Danley SH-60/iir-autoeq.txt,PK,109.0,-2.16,1.3,PK,164.0,2.87,1.88,PK,271.0,-2.77,2.97,PK,366.0,2.84,1.24,PK,565.0,2.29,2.88,PK,714.0,-2.84,2.53,PK,1541.0,2.92,2.47,PK,5490.0,-2.97,2.96,PK,13537.0,2.99,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SH-62,speaker,autoeq,Vendors-Danley,,1.58,3.62,2.04,-2.6,7,0.28,2025-08-05-15:44:52,eq/Danley SH-62/iir-autoeq.txt,PK,190.0,-3.0,3.0,PK,279.0,3.0,3.0,PK,395.0,-2.78,1.8,PK,1083.0,3.0,3.0,PK,2245.0,-1.99,2.0,PK,6585.0,-5.32,0.81,PK,16239.0,3.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SH-96-HO,speaker,dbx-1215,Vendors-Danley,,2.64,3.09,0.44999999999999973,-1.0,15,0.24,2023-08-04-23:34:27,eq/Danley SH-96-HO/iir-autoeq-dbx-1215.txt,PK,25.0,0.75,2.14,PK,40.0,0.75,2.14,PK,63.0,0.5,2.14,PK,100.0,0.25,2.14,PK,160.0,0.25,2.14,PK,250.0,-0.25,2.14,PK,400.0,0.5,2.14,PK,630.0,-0.25,2.14,PK,1000.0,-0.25,2.14,PK,1600.0,0.25,2.14,PK,2500.0,0.25,2.14,PK,4000.0,-0.25,2.14,PK,6300.0,0.5,2.14,PK,10000.0,0.0,2.14,PK,16000.0,0.0,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SH-96-HO,speaker,dbx-1231,Vendors-Danley,,2.64,3.24,0.6000000000000001,-1.1,31,0.24,2023-08-04-23:45:41,eq/Danley SH-96-HO/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,0.75,4.32,PK,31.0,0.75,4.32,PK,40.0,0.75,4.32,PK,50.0,0.75,4.32,PK,63.0,0.5,4.32,PK,80.0,0.25,4.32,PK,100.0,0.25,4.32,PK,125.0,0.25,4.32,PK,160.0,0.25,4.32,PK,200.0,0.0,4.32,PK,250.0,-0.25,4.32,PK,315.0,0.0,4.32,PK,400.0,0.25,4.32,PK,500.0,0.0,4.32,PK,630.0,-0.25,4.32,PK,800.0,-0.5,4.32,PK,1000.0,-0.25,4.32,PK,1250.0,0.0,4.32,PK,1600.0,0.25,4.32,PK,2000.0,-0.25,4.32,PK,2500.0,0.0,4.32,PK,3150.0,0.25,4.32,PK,4000.0,0.0,4.32,PK,5000.0,-0.25,4.32,PK,6300.0,0.5,4.32,PK,8000.0,-0.25,4.32,PK,10000.0,-0.25,4.32,PK,12000.0,0.0,4.32,PK,16000.0,0.0,4.32,PK,20000.0,0.0,4.32
Danley SH-96-HO,speaker,autoeq,Vendors-Danley,,2.64,5.47,2.8299999999999996,-2.2,9,0.24,2023-08-05-04:51:48,eq/Danley SH-96-HO/iir-autoeq.txt,PK,50.0,2.24,0.35,PK,271.0,-2.24,1.98,PK,378.0,2.79,1.92,PK,764.0,-1.41,2.83,PK,1491.0,2.07,2.74,PK,1822.0,-1.68,1.88,PK,4345.0,-2.47,2.4,PK,7417.0,-2.84,2.71,PK,12662.0,-2.24,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SH-Mini,speaker,dbx-1215,Vendors-Danley,,,,,-1.2,15,0.24,2023-08-04-23:32:16,eq/Danley SH-Mini/iir-autoeq-dbx-1215.txt,PK,25.0,0.5,2.14,PK,40.0,0.5,2.14,PK,63.0,0.5,2.14,PK,100.0,0.5,2.14,PK,160.0,0.5,2.14,PK,250.0,-0.5,2.14,PK,400.0,-0.25,2.14,PK,630.0,0.0,2.14,PK,1000.0,-0.25,2.14,PK,1600.0,0.5,2.14,PK,2500.0,0.25,2.14,PK,4000.0,1.0,2.14,PK,6300.0,0.75,2.14,PK,10000.0,0.25,2.14,PK,16000.0,0.75,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SH-Mini,speaker,dbx-1231,Vendors-Danley,,,,,-1.2,31,0.24,2023-08-04-23:46:57,eq/Danley SH-Mini/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,0.5,4.32,PK,31.0,0.5,4.32,PK,40.0,0.5,4.32,PK,50.0,0.5,4.32,PK,63.0,0.5,4.32,PK,80.0,0.5,4.32,PK,100.0,0.5,4.32,PK,125.0,0.5,4.32,PK,160.0,0.75,4.32,PK,200.0,0.25,4.32,PK,250.0,0.0,4.32,PK,315.0,0.0,4.32,PK,400.0,0.0,4.32,PK,500.0,0.0,4.32,PK,630.0,0.0,4.32,PK,800.0,0.75,4.32,PK,1000.0,0.0,4.32,PK,1250.0,-0.25,4.32,PK,1600.0,0.75,4.32,PK,2000.0,1.0,4.32,PK,2500.0,0.0,4.32,PK,3150.0,0.0,4.32,PK,4000.0,0.75,4.32,PK,5000.0,0.25,4.32,PK,6300.0,0.25,4.32,PK,8000.0,-1.25,4.32,PK,10000.0,0.0,4.32,PK,12000.0,0.5,4.32,PK,16000.0,0.5,4.32,PK,20000.0,0.0,4.32
Danley SH-Mini,speaker,autoeq,Vendors-Danley,,,,,-2.7,7,0.26,2024-03-19-16:23:23,eq/Danley SH-Mini/iir-autoeq.txt,PK,95.0,3.0,0.71,PK,279.0,-3.47,1.29,PK,1202.0,-7.24,2.99,PK,1887.0,3.0,1.44,PK,2765.0,-8.08,3.0,PK,8397.0,-9.0,2.99,PK,9989.0,-6.94,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SH-Mini-180,speaker,dbx-1215,Vendors-Danley,,,,,-1.8,15,0.24,2023-08-04-23:32:47,eq/Danley SH-Mini-180/iir-autoeq-dbx-1215.txt,PK,25.0,0.5,2.14,PK,40.0,0.5,2.14,PK,63.0,0.5,2.14,PK,100.0,0.5,2.14,PK,160.0,0.5,2.14,PK,250.0,0.25,2.14,PK,400.0,0.0,2.14,PK,630.0,0.0,2.14,PK,1000.0,-0.5,2.14,PK,1600.0,0.5,2.14,PK,2500.0,0.75,2.14,PK,4000.0,0.25,2.14,PK,6300.0,0.25,2.14,PK,10000.0,1.0,2.14,PK,16000.0,1.75,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SH-Mini-180,speaker,dbx-1231,Vendors-Danley,,,,,-1.0,31,0.24,2023-08-04-23:43:42,eq/Danley SH-Mini-180/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,0.5,4.32,PK,31.0,0.5,4.32,PK,40.0,0.5,4.32,PK,50.0,0.5,4.32,PK,63.0,0.5,4.32,PK,80.0,0.5,4.32,PK,100.0,0.5,4.32,PK,125.0,0.5,4.32,PK,160.0,0.5,4.32,PK,200.0,0.25,4.32,PK,250.0,0.25,4.32,PK,315.0,0.25,4.32,PK,400.0,0.25,4.32,PK,500.0,-0.25,4.32,PK,630.0,0.25,4.32,PK,800.0,0.0,4.32,PK,1000.0,-0.25,4.32,PK,1250.0,0.0,4.32,PK,1600.0,0.25,4.32,PK,2000.0,0.25,4.32,PK,2500.0,0.5,4.32,PK,3150.0,0.5,4.32,PK,4000.0,0.0,4.32,PK,5000.0,-0.5,4.32,PK,6300.0,-0.25,4.32,PK,8000.0,0.25,4.32,PK,10000.0,0.75,4.32,PK,12000.0,0.75,4.32,PK,16000.0,1.0,4.32,PK,20000.0,0.0,4.32
Danley SH-Mini-180,speaker,autoeq,Vendors-Danley,,,,,-5.4,7,0.26,2024-03-19-16:28:22,eq/Danley SH-Mini-180/iir-autoeq.txt,PK,88.0,3.0,1.22,PK,155.0,3.0,0.25,PK,424.0,-3.1,0.57,PK,1083.0,-2.53,3.0,PK,2765.0,3.0,2.97,PK,5347.0,-7.69,2.3,PK,8110.0,-2.93,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SM-100,speaker,dbx-1215,Vendors-Danley,,,,,-0.9,15,0.24,2023-08-04-23:30:18,eq/Danley SM-100/iir-autoeq-dbx-1215.txt,PK,25.0,-0.25,2.14,PK,40.0,-0.25,2.14,PK,63.0,0.25,2.14,PK,100.0,0.0,2.14,PK,160.0,0.0,2.14,PK,250.0,0.0,2.14,PK,400.0,0.0,2.14,PK,630.0,0.25,2.14,PK,1000.0,-0.25,2.14,PK,1600.0,0.25,2.14,PK,2500.0,0.75,2.14,PK,4000.0,0.25,2.14,PK,6300.0,0.25,2.14,PK,10000.0,0.25,2.14,PK,16000.0,0.75,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SM-100,speaker,dbx-1231,Vendors-Danley,,,,,-1.3,31,0.24,2023-08-04-23:42:34,eq/Danley SM-100/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,-0.25,4.32,PK,31.0,-0.25,4.32,PK,40.0,-0.25,4.32,PK,50.0,0.25,4.32,PK,63.0,0.25,4.32,PK,80.0,0.0,4.32,PK,100.0,0.0,4.32,PK,125.0,0.0,4.32,PK,160.0,0.0,4.32,PK,200.0,-0.25,4.32,PK,250.0,-0.25,4.32,PK,315.0,-0.5,4.32,PK,400.0,0.0,4.32,PK,500.0,-0.25,4.32,PK,630.0,-0.5,4.32,PK,800.0,0.75,4.32,PK,1000.0,-0.75,4.32,PK,1250.0,0.0,4.32,PK,1600.0,0.75,4.32,PK,2000.0,1.0,4.32,PK,2500.0,0.75,4.32,PK,3150.0,-0.25,4.32,PK,4000.0,0.25,4.32,PK,5000.0,1.0,4.32,PK,6300.0,0.25,4.32,PK,8000.0,0.25,4.32,PK,10000.0,0.25,4.32,PK,12000.0,-0.25,4.32,PK,16000.0,0.75,4.32,PK,20000.0,0.0,4.32
Danley SM-100,speaker,autoeq,Vendors-Danley,,,,,-3.1,7,0.26,2024-03-19-16:30:00,eq/Danley SM-100/iir-autoeq.txt,PK,47.0,2.86,2.64,PK,121.0,1.93,2.16,PK,1010.0,-8.04,3.0,PK,1046.0,2.99,1.21,PK,2245.0,3.0,3.0,PK,5934.0,-5.56,3.0,PK,11882.0,-6.02,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SM-100F,speaker,autoeq,Vendors-Danley,,,,,-3.0,7,0.28,2025-08-06-09:39:33,eq/Danley SM-100F/iir-autoeq.txt,PK,260.0,-9.0,3.0,PK,369.0,3.0,3.0,PK,579.0,3.0,1.58,PK,792.0,-9.0,3.0,PK,910.0,2.65,0.62,PK,9001.0,-6.28,0.31,PK,9648.0,2.84,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SM-60F,speaker,autoeq,Vendors-Danley,,1.6,4.08,2.48,-2.8,7,0.28,2025-08-05-18:54:20,eq/Danley SM-60F/iir-autoeq.txt,PK,190.0,2.99,1.2,PK,344.0,-4.32,3.0,PK,689.0,3.0,2.25,PK,1333.0,-3.47,3.0,PK,2245.0,2.95,2.0,PK,3289.0,-1.76,0.86,PK,5732.0,2.98,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SM-60M,speaker,dbx-1215,Vendors-Danley,,,,,-8.0,15,0.24,2023-08-04-23:29:55,eq/Danley SM-60M/iir-autoeq-dbx-1215.txt,PK,25.0,6.0,2.14,PK,40.0,5.5,2.14,PK,63.0,5.25,2.14,PK,100.0,4.0,2.14,PK,160.0,1.75,2.14,PK,250.0,0.5,2.14,PK,400.0,0.25,2.14,PK,630.0,0.0,2.14,PK,1000.0,0.0,2.14,PK,1600.0,0.5,2.14,PK,2500.0,0.0,2.14,PK,4000.0,0.0,2.14,PK,6300.0,0.0,2.14,PK,10000.0,0.25,2.14,PK,16000.0,1.0,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SM-60M,speaker,dbx-1231,Vendors-Danley,,,,,-8.8,31,0.24,2023-08-04-23:46:04,eq/Danley SM-60M/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,6.0,4.32,PK,31.0,6.0,4.32,PK,40.0,5.5,4.32,PK,50.0,5.5,4.32,PK,63.0,5.25,4.32,PK,80.0,4.5,4.32,PK,100.0,4.0,4.32,PK,125.0,2.75,4.32,PK,160.0,1.75,4.32,PK,200.0,1.0,4.32,PK,250.0,0.5,4.32,PK,315.0,0.0,4.32,PK,400.0,0.25,4.32,PK,500.0,0.0,4.32,PK,630.0,0.0,4.32,PK,800.0,-0.25,4.32,PK,1000.0,0.0,4.32,PK,1250.0,0.0,4.32,PK,1600.0,0.25,4.32,PK,2000.0,-0.25,4.32,PK,2500.0,0.0,4.32,PK,3150.0,-0.25,4.32,PK,4000.0,-0.25,4.32,PK,5000.0,-0.5,4.32,PK,6300.0,0.0,4.32,PK,8000.0,-0.25,4.32,PK,10000.0,-0.25,4.32,PK,12000.0,0.5,4.32,PK,16000.0,0.75,4.32,PK,20000.0,0.0,4.32
Danley SM-60M,speaker,autoeq,Vendors-Danley,,,,,-8.8,7,0.26,2024-03-19-16:43:23,eq/Danley SM-60M/iir-autoeq.txt,PK,46.0,2.99,0.25,PK,54.0,2.99,0.25,PK,65.0,2.99,0.25,PK,310.0,-7.89,1.7,PK,714.0,-8.85,0.88,PK,2023.0,-5.86,3.0,PK,12736.0,2.99,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SM-80,speaker,dbx-1215,Vendors-Danley,,,,,-1.3,15,0.24,2023-08-04-23:31:14,eq/Danley SM-80/iir-autoeq-dbx-1215.txt,PK,25.0,0.75,2.14,PK,40.0,0.75,2.14,PK,63.0,0.75,2.14,PK,100.0,0.75,2.14,PK,160.0,0.75,2.14,PK,250.0,0.75,2.14,PK,400.0,1.0,2.14,PK,630.0,0.5,2.14,PK,1000.0,0.25,2.14,PK,1600.0,0.0,2.14,PK,2500.0,-0.5,2.14,PK,4000.0,0.5,2.14,PK,6300.0,0.5,2.14,PK,10000.0,0.75,2.14,PK,16000.0,1.25,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SM-80,speaker,dbx-1231,Vendors-Danley,,,,,-0.9,31,0.24,2023-08-04-23:47:06,eq/Danley SM-80/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,0.5,4.32,PK,31.0,0.5,4.32,PK,40.0,0.5,4.32,PK,50.0,0.5,4.32,PK,63.0,0.5,4.32,PK,80.0,0.5,4.32,PK,100.0,0.5,4.32,PK,125.0,0.5,4.32,PK,160.0,0.25,4.32,PK,200.0,0.0,4.32,PK,250.0,0.25,4.32,PK,315.0,0.75,4.32,PK,400.0,0.25,4.32,PK,500.0,0.0,4.32,PK,630.0,-0.25,4.32,PK,800.0,0.0,4.32,PK,1000.0,-0.25,4.32,PK,1250.0,0.25,4.32,PK,1600.0,-0.25,4.32,PK,2000.0,-0.5,4.32,PK,2500.0,-0.5,4.32,PK,3150.0,0.0,4.32,PK,4000.0,0.0,4.32,PK,5000.0,0.25,4.32,PK,6300.0,0.5,4.32,PK,8000.0,-0.25,4.32,PK,10000.0,0.25,4.32,PK,12000.0,0.5,4.32,PK,16000.0,0.5,4.32,PK,20000.0,0.0,4.32
Danley SM-80,speaker,autoeq,Vendors-Danley,,,,,-4.8,7,0.26,2024-03-19-16:57:24,eq/Danley SM-80/iir-autoeq.txt,PK,98.0,3.0,1.34,PK,197.0,-3.65,1.82,PK,204.0,2.98,0.49,PK,332.0,3.0,3.0,PK,1046.0,-2.29,3.0,PK,1954.0,-4.22,2.38,PK,7834.0,-4.97,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danley SM-80F,speaker,autoeq,Vendors-Danley,,1.6,4.56,2.9599999999999995,-1.8,7,0.28,2025-08-05-18:37:05,eq/Danley SM-80F/iir-autoeq.txt,PK,134.0,-4.73,2.08,PK,190.0,3.0,2.99,PK,382.0,2.29,2.99,PK,522.0,-2.11,2.99,PK,1586.0,2.8,1.83,PK,1887.0,-4.17,2.97,PK,8397.0,-5.29,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAS Audio ARTEC 506A,speaker,dbx-1215,Vendors-DAS Audio,,4.82,4.93,0.10999999999999943,-0.8,15,0.24,2023-08-04-23:32:32,eq/DAS Audio ARTEC 506A/iir-autoeq-dbx-1215.txt,PK,25.0,0.5,2.14,PK,40.0,0.5,2.14,PK,63.0,0.5,2.14,PK,100.0,-0.25,2.14,PK,160.0,-0.25,2.14,PK,250.0,-0.25,2.14,PK,400.0,0.0,2.14,PK,630.0,0.0,2.14,PK,1000.0,-0.25,2.14,PK,1600.0,0.25,2.14,PK,2500.0,0.0,2.14,PK,4000.0,0.25,2.14,PK,6300.0,0.0,2.14,PK,10000.0,0.5,2.14,PK,16000.0,0.75,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAS Audio ARTEC 506A,speaker,dbx-1231,Vendors-DAS Audio,,4.82,5.02,0.1999999999999993,-0.8,31,0.24,2023-08-04-23:47:10,eq/DAS Audio ARTEC 506A/iir-autoeq-dbx-1231.txt,PK,20.0,0.0,4.32,PK,25.0,0.25,4.32,PK,31.0,0.25,4.32,PK,40.0,0.25,4.32,PK,50.0,0.25,4.32,PK,63.0,0.25,4.32,PK,80.0,0.25,4.32,PK,100.0,-0.25,4.32,PK,125.0,-0.25,4.32,PK,160.0,0.0,4.32,PK,200.0,-0.25,4.32,PK,250.0,0.0,4.32,PK,315.0,0.0,4.32,PK,400.0,0.0,4.32,PK,500.0,0.0,4.32,PK,630.0,0.25,4.32,PK,800.0,0.0,4.32,PK,1000.0,0.0,4.32,PK,1250.0,0.25,4.32,PK,1600.0,0.25,4.32,PK,2000.0,0.0,4.32,PK,2500.0,0.25,4.32,PK,3150.0,0.25,4.32,PK,4000.0,0.25,4.32,PK,5000.0,0.25,4.32,PK,6300.0,0.0,4.32,PK,8000.0,0.5,4.32,PK,10000.0,0.5,4.32,PK,12000.0,0.5,4.32,PK,16000.0,0.75,4.32,PK,20000.0,0.0,4.32
